Rank,data name,Ticker,id,Key Person,USP / notes,Economic Purpose,,Issuer Industry,,Technological Setup,,Legal Claim,,Issuer Type,,Regulatory Status EU,,Mode of Origination,,Type of Maximum Supply,,Consensus Mechanism,,Tax,,Multi Chain (Y/N)
586,Guild of Guardians,gog,guild-of-guardians,Noah,on immutableX,,,,,,,,,,,,,,,,,,,,,
587,MANTRA,om,mantra-dao,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
588,Unifi Protocol DAO,unfi,unifi-protocol-dao,Noah,defi protocol,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
589,Adshares,ads,adshares,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
590,Aeternity,ae,aeternity,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
591,mStable USD,musd,musd,Noah,stablecoin,EEP21PP01USD,USD-Pegged Payment Token,,,,,,,,,,,,,,,,,,,
592,LA,la,latoken,Noah,CEX,EEP22TU02,Settlement and Access token,,,,,,,,,,,,,,,,,,,
593,XMON,xmon,xmon,Noah,nft project,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
594,Time New Bank,tnb,time-new-bank,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
595,BitTorrent,btt,bittorrent,Noah,on Tron,,,,,,,,,,,,,,,,,,,,,
596,Neumark,neu,neumark,Noah,ICO pump dump noting found,,,,,,,,,,,,,,,,,,,,,
597,Presearch,pre,presearch,Noah,search engine not decentralized project. only token is on eth,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
598,tomiNet,tomi,tominet,Max,alternative internet,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
599,Global Coin Research,gcr,global-coin-research,Max,research platform,EEP22NT02,Governance Token,,,,,,,,,,,,,,,,,,,
600,Bitforex,bf,bitforex,Max,CEX,EEP22NT01,Access Token,,,,,,,,,,,,,,,,,,,
601,Shiba Predator,qom,shiba-predator,Max,meme token,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
602,SmartMesh,smt,smartmesh,Max,L1,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
603,Peercoin,ppc,peercoin,Max,L1,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
604,R,r,r,Max,stablecoin,EEP21PP01USD,USD-Pegged Payment Token,,,,,,,,,,,,,,,,,,,
605,apM Coin,apm,apm-coin,Max,customer rewards management,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
606,AirSwap,ast,airswap,Max,swaps,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
607,PowerPool Concentrated Voting Power,cvp,concentrated-voting-power,Max,governance accumulation platform,EEP22NT02,Governance Token,,,,,,,,,,,,,,,,,,,
608,XMax,xmx,xmax,Max,L1,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
609,Wagerr,wgr,wagerr,Max,sportsbetting,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
610,Bridge Mutual,bmi,bridge-mutual,Max,defi platform,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
611,SparkPoint,srk,sparkpoint,Max,"swap, learn, etc.",EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
612,Arbitrum,arb,arbitrum,Max,L2,EEP22NT02,Governance Token,,,,,,,,,,,,,,,,,,,
613,DMM: Governance,dmg,dmm-governance,Max,not found,,,,,,,,,,,,,,,,,,,,,
614,Milady Meme Coin,ladys,milady-meme-coin,Max,meme token,,,,,,,,,,,,,,,,,,,,,
615,YAM,yam,yam-2,Max,yield farming,EEP22NT02,Governance Token,,,,,,,,,,,,,,,,,,,
616,ARPA,arpa,arpa,Max,L1,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
617,IQeon,iqn,iqeon,Max,gaming platform,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
618,Cindicator,cnd,cindicator,Max,investing platform,EEP22NT01,Access Token,,,,,,,,,,,,,,,,,,,
619,RAI Finance,sofi,rai-finance,Max,several DeFi use cases,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
620,Cult DAO,cult,cult-dao,Max,DAO,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
621,Connectico,con,connectico,Max,incubator,EEP22NT01,Access Token,,,,,,,,,,,,,,,,,,,
622,Pepe,pepe,pepe,Max,meme token,,,,,,,,,,,,,,,,,,,,,
623,Mancium,manc,mancium,Max,gaming,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
624,VeriDocGlobal,vdg,veridocglobal,Max,qr code protocol,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
625,UBIX Network,ubx,ubix-network,Max,L1,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
626,Moeda Loyalty Points,mda,moeda-loyalty-points,Max,banking,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
627,Sai,sai,sai,Max,stablecoin,EEP21PP01USD,USD-Pegged Payment Token,,,,,,,,,,,,,,,,,,,
628,Deeper Network,dpr,deeper-network,Max,IOT network,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
629,Forta,fort,forta,Max,security protocol,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
630,Suterusu,suter,suterusu,Max,payment infrastructure,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
631,Opium,opium,opium,Max,derivative trading protocol,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
632,SymVerse,sym,symverse,Max,L1,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
633,LIT,lit,lit,Max,no utility,,,,,,,,,,,,,,,,,,,,,
634,Sweatcoin (Sweat Economy),sweat,sweatcoin,Max,digital currency that is earned by physical activity such as walking or running,EEP22NT01,Access Token,,,,,,,,,,,,,,,,,,,
635,Polybius,plbt,polybius,Max,no info,,,,,,,,,,,,,,,,,,,,,
636,Mossland,moc,mossland,Max,"metaverse, AR, VR",EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
637,Shardus,ult,shardus,Max,L1,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
638,USDP Stablecoin,usdp,usdp,Max,stablecoin,EEP21PP01USD,USD-Pegged Payment Token,,,,,,,,,,,,,,,,,,,
639,Wrapped Tron,wtrx,wrapped-tron,Max,L1,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
640,Swarm,bzz,swarm-bzz,Max,decentralised data storage,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
641,DeGate,dg,degate,Max,ZK Rollup DEX,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
642,Ferrum Network,frm,ferrum-network,Max,polkadot fork,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
643,VNX Exchange,vnxlu,vnx-exchange,Max,tokenized centure capital assets,EEP23,Investment Token,,,,,,,,,,,,,,,,,,,
644,Efforce,wozx,wozx,Max,energy efficiency platform,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
645,SuperRare,rare,superrare,Max,NFT marketplace,EEP22NT02,Governance Token,,,,,,,,,,,,,,,,,,,
646,Covalent,cqt,covalent,Max,data provider,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
647,Blocksquare,bst,blocksquare,Max,"tokenization of real estate, infrastructure",EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
648,Ruff,ruff,ruff,Max,"L1, IOT",EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
649,Yield App,yld,yield-app,Max,"nothing found, yield farming, digital wealth platform",,,,,,,,,,,,,,,,,,,,,
650,NvirWorld,nvir,nvirworld,Max,L1,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
651,Proton,xpr,proton,Max,L1,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
652,Aave [OLD],lend,ethlend,Max,lending protocol,EEP22NT02,Governance Token,,,,,,,,,,,,,,,,,,,
653,Dragonchain,drgn,dragonchain,Max,L1,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
654,Futureswap,fst,futureswap,Max,build on Arbitrum & Avalanche,,,,,,,,,,,,,,,,,,,,,
655,Bridge Oracle,brg,bridge-oracle,Max,bnb chain,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
656,Realio,RIO,realio-network,Max,tokenization of real world assets,EEP22NT01,Access Token,,,,,,,,,,,,,,,,,,,
657,Rarible,RARI,rarible,Max,NFT marketplace,EEP22NT02,Governance Token,,,,,,,,,,,,,,,,,,,
658,Stargate Finance,STG,stargate-finance,Max,crosschain liquidity pools build on Layer 0,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
659,Nym,NYM,nym,Max,L1 privacy network,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
660,SnailMoon,SNM,snailmoon,Max,meme token,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
661,DeFIL,DFL,defil,Max,not found,,,,,,,,,,,,,,,,,,,,,
662,Kylin Network,KYL,kylin-network,Max,"oracles for polkadot, middleware",EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
663,DeFi Pulse Index,DPI,defipulse-index,Max,index token,,,,,,,,,,,,,,,,,,,,,
664,LCX,LCX,lcx,Max,tokenization of assets,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
665,Efinity,EFI,efinity,Max,NFT blockchain,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
666,eosDAC,EOSDAC,eosdac,Max,L1 for DAOs,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
667,MixMarvel,MIX,mixmarvel,Max,gaming ,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
668,Sirin Labs,SRN,sirin-labs-token,Max,blockchain smartphone,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
669,Decentr,DEC,decentr,Max,personal data protocol,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
670,KIMCHI.finance,KIMCHI,kimchi-finance,Max,defi platform,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
671,Oraichain,ORAI,oraichain-token,Max,"L1, AI APIs",EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
672,Edgeless,EDG,edgeless,Max,gaming platform,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
673,pNetwork,PNT,pnetwork,Max,cross chain protocol,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
674,DAOstack,GEN,daostack,Max,future of collaboration by enabling decentralized organizations and projects to efficiently operate at scale,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
675,CheckMate Token,CMT,checkmate-token,Max,chess platform,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
676,Galvan,IZE,galvan,Max,"L1, health tracking app",EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
677,Lever Network,LEV,lever-network,Max,decentralized margin trading platform,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
678,RSS3,RSS3,rss3,Max,information dissemination protocol,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
679,BEPRO Network,BEPRO,bepro-network,Max,bounty network,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
680,Forj,BONDLY,bondly,Max,defi platform,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
681,Rhino.fi,DVF,rhinofi,Max,wallet + financial services,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
682,Tornado Cash,TORN,tornado-cash,Max,privacy protocol,EEP22NT02,Governance Token,,,,,,,,,,,,,,,,,,,
683,Agoras: Currency of Tau,AGRS,agoras-currency-of-tau,Max,Layer 1 Accurate software generation with guaranteed AI safety,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
684,chrono.tech,TIME,chronobank,Max,"leverages blockchain technology to facilitate a smoother recruitment and HR process, especially around freelance and contractual work.",EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
685,Aergo,AERGO,aergo,Max,"Layer 1 blockchain. It uses a hybrid blockchain model, which combines both private and public blockchains.",EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
686,Quantstamp,QSP,quantstamp,Max,auditing firm,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
687,Sentinel Protocol,UPP,sentinel-protocol,Max,collective threat intelligence database,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
688,Game,GTC,game,Max,Gaming platform,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
689,Hydro,HYDRO,hydro,Max,L1 GameFi,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
690,U Network,UUU,u-network,Max,L1 UGC blockchain,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
691,The Virtua Kolect,TVK,the-virtua-kolect,Max,Gaming metaverse platform,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
